Id,WarehouseId,Type,Name,Zone,Level,Position,Barcode,Rack,StoreTime,CreateTime,CreatedById,Capacity,MaxWeight,Sorting
50,5,3,WH1-H5-R01-L1-P01,501,1,01,1501101,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
51,5,3,WH1-H5-R01-L1-P02,501,1,02,1501102,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
52,5,3,WH1-H5-R01-L1-P03,501,1,03,1501103,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
53,5,3,WH1-H5-R01-L1-P04,501,1,04,1501104,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
54,5,3,WH1-H5-R01-L1-P05,501,1,05,1501105,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
55,5,3,WH1-H5-R01-L1-P06,501,1,06,1501106,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
56,5,3,WH1-H5-R01-L1-P07,501,1,07,1501107,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
57,5,3,WH1-H5-R01-L1-P08,501,1,08,1501108,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
58,5,3,WH1-H5-R01-L1-P09,501,1,09,1501109,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
59,5,3,WH1-H5-R01-L1-P10,501,1,10,1501110,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
60,5,3,WH1-H5-R01-L1-P11,501,1,11,1501111,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
61,5,3,WH1-H5-R01-L1-P12,501,1,12,1501112,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
62,5,3,WH1-H5-R01-L1-P13,501,1,13,1501113,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
63,5,3,WH1-H5-R01-L1-P14,501,1,14,1501114,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
64,5,3,WH1-H5-R01-L1-P15,501,1,15,1501115,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
65,5,3,WH1-H5-R01-L1-P16,501,1,16,1501116,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
66,5,3,WH1-H5-R01-L1-P17,501,1,17,1501117,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
67,5,3,WH1-H5-R01-L1-P18,501,1,18,1501118,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
68,5,3,WH1-H5-R01-L1-P19,501,1,19,1501119,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
69,5,3,WH1-H5-R01-L1-P20,501,1,20,1501120,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
70,5,3,WH1-H5-R01-L1-P21,501,1,21,1501121,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
71,5,3,WH1-H5-R01-L1-P22,501,1,22,1501122,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
72,5,3,WH1-H5-R01-L1-P23,501,1,23,1501123,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
73,5,3,WH1-H5-R01-L1-P24,501,1,24,1501124,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
74,5,3,WH1-H5-R01-L1-P25,501,1,25,1501125,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
75,5,3,WH1-H5-R01-L1-P26,501,1,26,1501126,R - 501,2026-01-22 07:57:26.77267+00,2026-01-22 07:57:26.77267+00,NULL,0,0,
